"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2021","32,160.0","31,800.0","32,160.0","31,630.0","33.62K","-0.12%"
"11/11/2021","32,200.0","32,790.0","32,790.0","32,130.0","125.73K","-0.03%"
"11/10/2021","32,210.0","32,880.0","32,880.0","32,110.0","54.00K","-2.04%"
"11/09/2021","32,880.0","33,030.0","33,190.0","32,600.0","197.10K","-1.79%"
"11/08/2021","33,480.0","33,220.0","33,500.0","33,220.0","97.07K","0.06%"
"11/05/2021","33,460.0","33,630.0","33,800.0","33,280.0","116.08K","0.18%"
"11/04/2021","33,400.0","34,200.0","34,200.0","33,400.0","78.99K","-1.76%"
"11/03/2021","34,000.0","34,100.0","34,100.0","33,860.0","142.30K","0.00%"
"11/02/2021","34,000.0","34,000.0","34,100.0","33,750.0","113.48K","0.95%"
"10/29/2021","33,680.0","34,230.0","34,280.0","33,460.0","243.68K","-2.35%"
"10/28/2021","34,490.0","34,300.0","34,490.0","34,120.0","91.76K","0.12%"
"10/27/2021","34,450.0","33,580.0","34,500.0","33,580.0","117.57K","-0.14%"
"10/26/2021","34,500.0","34,050.0","34,500.0","34,050.0","140.74K","0.88%"
"10/25/2021","34,200.0","33,790.0","34,200.0","33,510.0","59.08K","2.21%"
"10/22/2021","33,460.0","34,180.0","34,300.0","33,460.0","52.73K","-1.70%"
"10/21/2021","34,040.0","34,400.0","34,400.0","33,780.0","115.18K","-0.56%"
"10/20/2021","34,230.0","33,700.0","34,390.0","33,700.0","69.48K","0.29%"
"10/19/2021","34,130.0","34,250.0","34,480.0","34,020.0","89.84K","-1.24%"
"10/15/2021","34,560.0","33,600.0","34,940.0","33,600.0","298.46K","0.52%"
"10/14/2021","34,380.0","33,200.0","34,380.0","33,200.0","227.15K","3.62%"
"10/13/2021","33,180.0","32,620.0","33,180.0","32,590.0","111.14K","2.03%"
"10/12/2021","32,520.0","32,900.0","32,940.0","32,520.0","58.06K","-2.43%"
"10/11/2021","33,330.0","33,500.0","33,600.0","33,300.0","41.49K","-0.21%"
"10/08/2021","33,400.0","33,490.0","33,780.0","33,260.0","94.03K","-0.24%"
"10/07/2021","33,480.0","33,000.0","33,510.0","33,000.0","184.61K","1.45%"
"10/06/2021","33,000.0","32,810.0","33,000.0","32,320.0","110.70K","-0.30%"
"10/05/2021","33,100.0","32,900.0","33,380.0","32,900.0","36.96K","-0.54%"
"10/04/2021","33,280.0","32,950.0","33,290.0","32,950.0","76.07K","0.85%"
"10/01/2021","33,000.0","32,960.0","33,260.0","32,940.0","74.76K","0.12%"
"09/30/2021","32,960.0","32,010.0","32,960.0","32,010.0","126.96K","0.86%"
"09/29/2021","32,680.0","32,120.0","32,830.0","31,920.0","100.53K","0.80%"
"09/28/2021","32,420.0","32,000.0","32,490.0","31,700.0","170.65K","0.15%"
"09/27/2021","32,370.0","31,200.0","32,370.0","31,200.0","248.70K","4.83%"
"09/24/2021","30,880.0","30,690.0","30,880.0","30,400.0","56.37K","0.78%"
"09/23/2021","30,640.0","30,670.0","30,760.0","30,500.0","132.32K","0.46%"
"09/22/2021","30,500.0","30,700.0","30,760.0","30,500.0","86.91K","-0.23%"
"09/21/2021","30,570.0","31,000.0","31,080.0","30,570.0","322.40K","-1.07%"
"09/20/2021","30,900.0","31,280.0","31,280.0","30,710.0","69.09K","-1.28%"
"09/17/2021","31,300.0","31,180.0","31,500.0","30,770.0","1.01M","0.38%"
"09/16/2021","31,180.0","30,940.0","31,180.0","30,900.0","85.61K","-0.06%"
"09/15/2021","31,200.0","31,060.0","31,290.0","31,060.0","156.20K","0.65%"
"09/14/2021","31,000.0","30,520.0","31,000.0","30,520.0","68.80K","0.65%"
"09/13/2021","30,800.0","31,060.0","31,100.0","30,480.0","72.13K","-1.57%"
"09/10/2021","31,290.0","31,250.0","31,290.0","31,130.0","16.94K","-0.32%"
"09/09/2021","31,390.0","30,900.0","31,390.0","30,900.0","59.49K","1.19%"
"09/08/2021","31,020.0","31,000.0","31,080.0","30,800.0","174.19K","0.06%"
"09/07/2021","31,000.0","31,070.0","31,280.0","31,000.0","18.92K","-0.83%"
"09/06/2021","31,260.0","31,100.0","31,260.0","31,000.0","19.91K","-0.45%"
"09/03/2021","31,400.0","31,200.0","31,400.0","30,980.0","36.75K","0.64%"
"09/02/2021","31,200.0","31,300.0","31,400.0","31,150.0","74.49K","-0.32%"
"09/01/2021","31,300.0","31,330.0","31,600.0","31,050.0","144.66K","0.74%"
"08/31/2021","31,070.0","31,330.0","31,330.0","31,070.0","511.41K","-0.83%"
"08/30/2021","31,330.0","31,000.0","31,500.0","30,810.0","120.38K","0.42%"
"08/27/2021","31,200.0","30,980.0","31,200.0","30,920.0","83.53K","1.30%"
"08/26/2021","30,800.0","31,160.0","31,240.0","30,620.0","51.14K","-1.69%"
"08/25/2021","31,330.0","31,400.0","31,400.0","30,900.0","86.25K","-0.22%"
"08/24/2021","31,400.0","31,320.0","31,590.0","31,310.0","84.84K","-0.25%"
"08/23/2021","31,480.0","31,400.0","31,500.0","31,350.0","97.13K","0.67%"
"08/20/2021","31,270.0","31,680.0","31,680.0","31,100.0","125.77K","-1.04%"
"08/19/2021","31,600.0","31,300.0","31,600.0","30,310.0","217.36K","0.70%"
"08/18/2021","31,380.0","30,270.0","31,500.0","30,270.0","333.16K","2.89%"
"08/17/2021","30,500.0","29,400.0","30,500.0","29,400.0","204.87K","3.01%"
"08/13/2021","29,610.0","28,980.0","29,680.0","28,980.0","137.34K","2.14%"
"08/12/2021","28,990.0","28,500.0","29,800.0","28,500.0","380.25K","2.80%"
"08/11/2021","28,200.0","28,040.0","28,200.0","27,910.0","118.05K","1.44%"
"08/10/2021","27,800.0","27,520.0","27,950.0","27,520.0","59.26K","1.02%"
"08/09/2021","27,520.0","27,310.0","27,760.0","27,310.0","39.15K","0.99%"
"08/06/2021","27,250.0","27,530.0","27,630.0","27,000.0","66.02K","-1.02%"
"08/05/2021","27,530.0","28,100.0","28,200.0","27,530.0","54.00K","-2.34%"
"08/04/2021","28,190.0","27,580.0","28,190.0","27,570.0","149.12K","1.99%"
"08/03/2021","27,640.0","27,320.0","27,690.0","27,320.0","143.40K","-0.22%"
"08/02/2021","27,700.0","27,850.0","27,850.0","27,220.0","49.73K","2.21%"
"07/30/2021","27,100.0","27,760.0","27,760.0","27,100.0","123.51K","-2.24%"
"07/29/2021","27,720.0","28,290.0","28,290.0","27,720.0","59.22K","-0.29%"
"07/28/2021","27,800.0","28,300.0","28,310.0","27,710.0","61.35K","-0.79%"
"07/27/2021","28,020.0","28,110.0","28,400.0","28,020.0","456.10K","-0.99%"
