"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2023","33,700.0","34,000.0","34,000.0","33,500.0","22.38K","-0.85%"
"03/08/2023","33,990.0","34,400.0","34,400.0","33,670.0","313.41K","3.00%"
"03/07/2023","33,000.0","33,510.0","34,990.0","33,000.0","43.47K","-7.30%"
"03/06/2023","35,600.0","35,890.0","36,010.0","35,600.0","14.81K","-1.00%"
"03/03/2023","35,960.0","31,580.0","35,960.0","31,580.0","25.92K","3.10%"
"03/02/2023","34,880.0","36,000.0","36,000.0","33,500.0","72.09K","-3.08%"
"03/01/2023","35,990.0","35,990.0","35,990.0","35,990.0","7.73K","-1.67%"
"02/28/2023","36,600.0","36,010.0","36,600.0","36,010.0","30.52K","-1.05%"
"02/27/2023","36,990.0","37,990.0","38,490.0","36,990.0","17.12K","0.00%"
"02/24/2023","36,990.0","36,850.0","37,050.0","36,850.0","22.16K","-6.02%"
"02/23/2023","39,360.0","39,360.0","39,360.0","39,360.0","3.50K","-0.03%"
"02/22/2023","39,370.0","38,020.0","39,370.0","38,020.0","14.32K","2.13%"
"02/21/2023","38,550.0","39,800.0","39,800.0","38,540.0","7.74K","-3.14%"
"02/20/2023","39,800.0","39,870.0","39,870.0","39,800.0","10.41K","0.00%"
"02/17/2023","39,800.0","39,890.0","39,890.0","39,500.0","8.65K","-0.25%"
"02/16/2023","39,900.0","39,500.0","39,900.0","39,500.0","11.57K","1.01%"
"02/15/2023","39,500.0","38,600.0","40,000.0","38,600.0","17.98K","-3.59%"
"02/14/2023","40,970.0","38,790.0","40,970.0","37,700.0","20.25K","5.59%"
"02/13/2023","38,800.0","38,520.0","38,800.0","38,000.0","24.48K","-0.51%"
"02/10/2023","39,000.0","39,300.0","39,300.0","38,500.0","6.89K","-1.42%"
"02/09/2023","39,560.0","39,000.0","39,560.0","39,000.0","5.69K","2.75%"
"02/08/2023","38,500.0","38,600.0","38,990.0","38,500.0","17.56K","-3.02%"
